date, precipitation
8/2/2016,7.0477047
8/3/2016,3.25802469
8/4/2016,0.172197446
8/5/2016,0.229797944
8/6/2016,0.380842179
8/7/2016,0.329417497
8/8/2016,0.197486833
8/9/2016,0.811066329
8/10/2016,1.04591227
8/11/2016,0.449053615
8/12/2016,0.187687755
8/13/2016,0.024727959
8/14/2016,0.019255271
8/15/2016,0.000615607
8/16/2016,0.110602207
8/17/2016,0.137922049
8/18/2016,1.4191649
8/19/2016,4.50216293
8/20/2016,0.23662208
8/21/2016,2.07862639
8/22/2016,6.30236673
8/23/2016,10.5332594
8/24/2016,6.68000984
8/25/2016,1.01346052
8/26/2016,0.665089905
8/27/2016,0.077640757
8/28/2016,0.112549007
8/29/2016,2.30135798
8/30/2016,12.117425
8/31/2016,1.98545778
9/1/2016,13.8796625
9/2/2016,16.013483
9/3/2016,0.81847024
9/4/2016,0.029611435
9/5/2016,0.003217758
9/6/2016,0.006115873
9/7/2016,0.073764853
9/8/2016,9.72264385
9/9/2016,9.34568119
9/10/2016,1.51483047
9/11/2016,0.041740384
9/12/2016,2.1578424
9/13/2016,12.0619411
9/14/2016,4.37533283
9/15/2016,3.38413882
9/16/2016,0.051128496
9/17/2016,8.11711502
9/18/2016,8.06943321
9/19/2016,0.606572986
9/20/2016,13.8830595
9/21/2016,3.72916818
9/22/2016,1.61808968
9/23/2016,0.321668744
9/24/2016,5.50111723
9/25/2016,0.482932091
9/26/2016,0.710873663
9/27/2016,0.574584305
9/28/2016,9.76537514
9/29/2016,4.63433361
9/30/2016,0.95953691
10/1/2016,0.038914401
10/2/2016,7.14250088
10/3/2016,1.46150315
10/4/2016,1.84679246
10/5/2016,0.082580634
10/6/2016,0.079261541
10/7/2016,0.701926053
10/8/2016,0.415101528
10/9/2016,1.99090767
10/10/2016,3.72028327
10/11/2016,0.301919669
10/12/2016,0.660909295
10/13/2016,0.13429074
10/14/2016,0.001860709
10/15/2016,0.185605556
10/16/2016,6.89805937
10/17/2016,2.17914271
10/18/2016,0.595913053
10/19/2016,0.035486341
10/20/2016,0.525776744
10/21/2016,9.2308054
10/22/2016,4.46662855
10/23/2016,0.730959237
10/24/2016,0.112199672
10/25/2016,0.479077995
10/26/2016,0.179124489
10/27/2016,1.28000617
10/28/2016,1.44873679
10/29/2016,1.12693977
10/30/2016,5.21096087
10/31/2016,0.220292181
11/1/2016,0.213890582
11/2/2016,0.101593733
11/3/2016,0.047914486
11/4/2016,0.039600533
11/5/2016,0.284301758
11/6/2016,0.032826476
11/7/2016,0.568695068
11/8/2016,3.38458729
11/9/2016,3.49858642
11/10/2016,0.653673351
11/11/2016,12.0202141
11/12/2016,0.821416795
11/13/2016,0.797801495
11/14/2016,0.375343889
11/15/2016,0.153761476
11/16/2016,0.01525695
11/17/2016,0.032775447
11/18/2016,0.24282065
11/19/2016,0.186211467
11/20/2016,0.933580756
11/21/2016,1.38204682
11/22/2016,3.04718065
11/23/2016,1.78456771
11/24/2016,0.031789079
11/25/2016,0.078978971
11/26/2016,0.045726713
11/27/2016,0.182887897
11/28/2016,0.749067366
11/29/2016,0.543379545
11/30/2016,0.787814975
12/1/2016,0.232599929
12/2/2016,0.20397535
12/3/2016,0.711450636
12/4/2016,3.24118495
12/5/2016,5.8748641
12/6/2016,6.05822182
12/7/2016,1.12611735
12/8/2016,4.50702286
12/9/2016,0.049237661
12/10/2016,0.121560901
12/11/2016,0.217774272
12/12/2016,0.039634489
12/13/2016,0.930511951
12/14/2016,6.26614666
12/15/2016,9.01452065
12/16/2016,2.11654449
12/17/2016,0.273802161
12/18/2016,0.059265815
12/19/2016,0.290576428
12/20/2016,1.2560463
12/21/2016,0.470894307
12/22/2016,0.645803452
12/23/2016,1.06225204
12/24/2016,2.96661735
12/25/2016,0.227309734
12/26/2016,1.24881363
12/27/2016,1.3533206
12/28/2016,1.54355049
12/29/2016,3.93304515
12/30/2016,2.32587171
12/31/2016,0.816789091
1/1/2017,5.16509914
1/2/2017,2.18283248
1/3/2017,0.039643515
1/4/2017,0.230503902
1/5/2017,0.539928675
1/6/2017,0.388199806
1/7/2017,0.096503064
1/8/2017,0.510910273
1/9/2017,4.07694387
1/10/2017,0.545962512
1/11/2017,1.29373729
1/12/2017,1.83835483
1/13/2017,4.29309797
1/14/2017,2.65629697
1/15/2017,0.286822528
1/16/2017,0.016046668
1/17/2017,0.325164795
1/18/2017,2.42222548
1/19/2017,5.91623592
1/20/2017,6.37542677
1/21/2017,0.005830927
1/22/2017,0.011475173
1/23/2017,1.63007593
1/24/2017,2.8003099
1/25/2017,2.48059964
1/26/2017,1.18238533
1/27/2017,0.13084954
1/28/2017,0.115406103
1/29/2017,0.70583868
1/30/2017,0.703738689
1/31/2017,0.967573345
2/1/2017,2.42377067
2/2/2017,0.556533694
2/3/2017,0.604744315
2/4/2017,2.45082545
2/5/2017,4.4553299
2/6/2017,3.49674296
2/7/2017,2.45701909
2/8/2017,0.006590734
2/9/2017,0.01062781
2/10/2017,0.050122712
2/11/2017,0.921762347
2/12/2017,1.26079774
2/13/2017,0.329448551
2/14/2017,0.330919921
2/15/2017,0.020366263
2/16/2017,0.073140405
2/17/2017,3.35436416
2/18/2017,2.88534546
2/19/2017,3.32984376
2/20/2017,0.022553083
2/21/2017,0.052186206
2/22/2017,0
2/23/2017,0.020055618
2/24/2017,0.550894678
2/25/2017,0.922193766
2/26/2017,1.04232013
2/27/2017,1.69432628
2/28/2017,1.05173385
3/1/2017,1.14283419
3/2/2017,1.83929479
3/3/2017,3.56856298
3/4/2017,8.0882349
3/5/2017,1.38820338
3/6/2017,0.228207052
3/7/2017,1.24311745
3/8/2017,0.280330658
3/9/2017,0.041562047
3/10/2017,0.013989748
3/11/2017,0.595147789
3/12/2017,6.83585835
3/13/2017,9.02803802
3/14/2017,4.08327293
3/15/2017,5.55695295
3/16/2017,9.2081728
3/17/2017,6.55764389
3/18/2017,4.43486786
3/19/2017,3.3418777
3/20/2017,6.95914221
3/21/2017,6.17905045
3/22/2017,4.18653011
3/23/2017,2.50910664
3/24/2017,0.805052578
3/25/2017,1.09885466
3/26/2017,0.12073984
3/27/2017,1.34897327
3/28/2017,0.052455671
3/29/2017,8.38227749
3/30/2017,12.330821
3/31/2017,0.048893001
4/1/2017,0.094974205
