datetime, avg_next_24h, min_next_24h, max_next_24h, hd_next_24h, cd_next_24h
2018-01-01 00:00:00,23.7896551724137931,19.50,28.10,0,4.2896551724137931
2018-01-01 00:00:00,23.7896551724137931,19.50,28.10,0,4.2896551724137931
2018-01-01 00:30:00,23.7912280701754386,19.50,28.10,0,4.2912280701754386
2018-01-01 00:34:00,23.8160714285714286,19.50,28.10,0,4.3160714285714286
2018-01-01 01:00:00,23.7964285714285714,19.50,28.10,0,4.2964285714285714
2018-01-01 01:30:00,23.7750000000000000,19.50,28.10,0,4.2750000000000000
2018-01-01 02:00:00,23.7464285714285714,19.50,28.10,0,4.2464285714285714
2018-01-01 02:30:00,23.7160714285714286,19.50,28.10,0,4.2160714285714286
2018-01-01 03:00:00,23.6857142857142857,19.50,28.10,0,4.1857142857142857
2018-01-01 03:30:00,23.6642857142857143,19.50,28.10,0,4.1642857142857143
2018-01-01 04:00:00,23.6392857142857143,19.20,28.10,0,4.1392857142857143
2018-01-01 04:30:00,23.6071428571428571,18.40,28.10,0,4.1071428571428571
2018-01-01 05:00:00,23.5767857142857143,18.20,28.10,0,4.0767857142857143
2018-01-01 05:30:00,23.5625000000000000,18.20,28.10,0,4.0625000000000000
2018-01-01 06:00:00,23.5642857142857143,18.20,28.10,0,4.0642857142857143
2018-01-01 06:30:00,23.5732142857142857,18.20,28.10,0,4.0732142857142857
2018-01-01 07:00:00,23.5732142857142857,18.20,28.10,0,4.0732142857142857
2018-01-01 07:30:00,23.5500000000000000,18.20,28.10,0,4.0500000000000000
2018-01-01 08:00:00,23.5357142857142857,18.20,28.10,0,4.0357142857142857
2018-01-01 08:30:00,23.5160714285714286,18.20,28.10,0,4.0160714285714286
2018-01-01 09:00:00,23.4767857142857143,18.20,28.10,0,3.9767857142857143
2018-01-01 09:30:00,23.4250000000000000,18.20,28.10,0,3.9250000000000000
2018-01-01 09:55:00,23.3400000000000000,18.20,27.30,0,3.8400000000000000
2018-01-01 10:00:00,23.2963636363636364,18.20,27.30,0,3.7963636363636364
2018-01-01 10:30:00,23.2618181818181818,18.20,26.80,0,3.7618181818181818
2018-01-01 11:00:00,23.2490909090909091,18.20,26.20,0,3.7490909090909091
2018-01-01 11:12:00,23.1962962962962963,18.20,26.20,0,3.6962962962962963
2018-01-01 11:30:00,23.2148148148148148,18.20,27.20,0,3.7148148148148148
2018-01-01 12:00:00,23.2555555555555556,18.20,27.70,0,3.7555555555555556
2018-01-01 12:12:00,23.2132075471698113,18.20,27.70,0,3.7132075471698113
2018-01-01 12:30:00,23.2358490566037736,18.20,27.70,0,3.7358490566037736
2018-01-01 12:42:00,23.1846153846153846,18.20,27.70,0,3.6846153846153846
2018-01-01 13:00:00,23.2115384615384615,18.20,27.70,0,3.7115384615384615
2018-01-01 13:09:00,23.1705882352941176,18.20,27.70,0,3.6705882352941176
2018-01-01 13:30:00,23.2039215686274510,18.20,27.70,0,3.7039215686274510
2018-01-01 13:42:00,23.1660000000000000,18.20,27.70,0,3.6660000000000000
2018-01-01 14:00:00,23.1920000000000000,18.20,27.70,0,3.6920000000000000
2018-01-01 14:09:00,23.1469387755102041,18.20,27.70,0,3.6469387755102041
2018-01-01 14:30:00,23.1897959183673469,18.20,27.70,0,3.6897959183673469
2018-01-01 15:00:00,23.1979591836734694,18.20,27.70,0,3.6979591836734694
2018-01-01 15:30:00,23.1959183673469388,18.20,27.70,0,3.6959183673469388
2018-01-01 16:00:00,23.1775510204081633,18.20,27.70,0,3.6775510204081633
2018-01-01 16:30:00,23.1530612244897959,18.20,27.70,0,3.6530612244897959
2018-01-01 17:00:00,23.1387755102040816,18.20,27.70,0,3.6387755102040816
2018-01-01 17:30:00,23.1081632653061224,18.20,27.70,0,3.6081632653061224
2018-01-01 18:00:00,23.0693877551020408,18.20,27.70,0,3.5693877551020408
2018-01-01 18:30:00,23.0500000000000000,18.20,27.70,0,3.5500000000000000
2018-01-01 19:00:00,23.0313725490196078,18.20,27.70,0,3.5313725490196078
2018-01-01 19:30:00,23.0173076923076923,18.20,27.70,0,3.5173076923076923
2018-01-01 20:00:00,22.9943396226415094,18.20,27.70,0,3.4943396226415094
2018-01-01 20:30:00,22.9792452830188679,18.20,27.70,0,3.4792452830188679
2018-01-01 21:00:00,22.9603773584905660,18.20,27.70,0,3.4603773584905660
2018-01-01 21:30:00,22.9339622641509434,18.20,27.70,0,3.4339622641509434
2018-01-01 22:00:00,22.9037735849056604,18.20,27.70,0,3.4037735849056604
2018-01-01 22:30:00,22.8735849056603774,18.20,27.70,0,3.3735849056603774
2018-01-01 23:00:00,22.8433962264150943,18.20,27.70,0,3.3433962264150943
2018-01-01 23:30:00,22.8132075471698113,18.20,27.70,0,3.3132075471698113
2018-01-02 00:00:00,22.8094339622641509,18.20,27.70,0,3.3094339622641509
2018-01-02 00:30:00,22.8207547169811321,18.20,27.70,0,3.3207547169811321
2018-01-02 01:00:00,22.8150943396226415,18.20,27.70,0,3.3150943396226415
2018-01-02 01:30:00,22.8000000000000000,18.20,27.70,0,3.3000000000000000
2018-01-02 02:00:00,22.7849056603773585,18.20,27.70,0,3.2849056603773585
2018-01-02 02:30:00,22.7830188679245283,18.20,27.70,0,3.2830188679245283
2018-01-02 03:00:00,22.7830188679245283,18.20,27.70,0,3.2830188679245283
2018-01-02 03:30:00,22.7773584905660377,18.20,27.70,0,3.2773584905660377
2018-01-02 04:00:00,22.7735849056603774,18.20,27.70,0,3.2735849056603774
2018-01-02 04:30:00,22.7867924528301887,18.20,27.70,0,3.2867924528301887
